Run_./2018-02-16/otu_table.biom-0/0 Run_./2018-02-16/otu_table.biom-0/1 Run_./2018-02-16/otu_table.biom-0/2 Run_./2022-07-08/ITS/ASV_Table.biom-1/0 Run_./2022-02-18/beuty5958.biom-2/0 Run_./2022-02-18/beuty5958.biom-2/1 Run_./2022-04-19/beuty6409.biom-3/0 Run_./2022-04-19/ITS/ASV_Table.biom-4/0 Run_./2022-07-11/beuty6948.biom-5/0 Run_./2022-08-19/ASV_Table.biom-6/0 Run_./2022-08-19/ITS/ASV_Table.biom-7/0 Run_./2018-03-09/otu_table.biom-8/0 Run_./2018-03-09/otu_table.biom-8/1 Run_./2018-03-09/otu_table.biom-8/2 Run_./2018-03-09/otu_table.biom-8/3 key_0 key_1 key_2 key_3 key_4 key_5 key_6
2408 2349 190 0 2420 0 0 0 1137 1739 0 2408 826 2375 0 k__Bacteria p__Actinobacteria c__Coriobacteriia o__Coriobacteriales f__Coriobacteriaceae g__Collinsella s__intestinalis-stercoris
2347 2144 0 0 3445 0 0 0 492 1574 0 2347 673 2144 0 k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Bacteroidaceae g__Bacteroides s__coprocola
2204 2149 0 0 0 0 0 0 0 0 0 2204 524 2149 0 seq17 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14 X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-03-09/otu_table.biom_seq17_X__./2018-02-16/otu_table.biom_seq14
0 4124 0 0 0 0 0 0 0 0 0 0 1324 4124 0 seq14 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15 X__./2018-03-09/otu_table.biom_seq14_X__./2018-03-09/otu_table.biom_seq14_X__./2018-02-16/otu_table.biom_seq15
0 3663 0 0 0 0 0 0 0 0 0 0 0 3663 0 seq20 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16 X__./2018-03-09/otu_table.biom_seq20_X__./2018-02-16/otu_table.biom_seq16
0 3334 0 0 0 0 0 0 0 0 0 0 1449 3334 0 seq18 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17 X__./2018-03-09/otu_table.biom_seq18_X__./2018-03-09/otu_table.biom_seq18_X__./2018-02-16/otu_table.biom_seq17
410 2470 0 0 0 0 0 0 0 0 0 410 560 2470 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__Blautia s__glucerasea
0 2719 0 0 0 0 0 0 0 0 0 0 5771 2719 0 seq10 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20 X__./2018-03-09/otu_table.biom_seq10_X__./2018-03-09/otu_table.biom_seq10_X__./2018-02-16/otu_table.biom_seq20
0 2553 0 0 0 0 0 0 0 0 0 0 0 2553 0 seq26 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21 X__./2018-03-09/otu_table.biom_seq26_X__./2018-02-16/otu_table.biom_seq21
0 2471 0 0 0 0 0 0 0 0 0 0 0 2471 0 seq27 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22 X__./2018-03-09/otu_table.biom_seq27_X__./2018-02-16/otu_table.biom_seq22
199 2014 0 0 188 0 0 0 260 48 0 199 567 2014 0 k__Bacteria p__Firmicutes c__Erysipelotrichia o__Erysipelotrichales f__Erysipelotrichaceae g__Allobaculum s__stercoricanis
1254 888 0 0 0 0 0 0 0 0 0 1254 290 888 0 seq28 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25 X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-03-09/otu_table.biom_seq28_X__./2018-02-16/otu_table.biom_seq25
387 1599 0 0 0 0 0 0 0 0 0 387 921 1599 0 seq24 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26 X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-03-09/otu_table.biom_seq24_X__./2018-02-16/otu_table.biom_seq26
0 1978 0 0 0 0 0 0 0 0 0 0 0 1978 0 seq30 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27 X__./2018-03-09/otu_table.biom_seq30_X__./2018-02-16/otu_table.biom_seq27
0 1819 0 0 0 0 0 0 0 0 0 0 0 1819 0 seq34 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28 X__./2018-03-09/otu_table.biom_seq34_X__./2018-02-16/otu_table.biom_seq28
462 3185 323 0 0 0 0 0 0 0 0 148 8566 3462 60 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae_1 g__Clostridium s__perfringens
0 1394 0 0 0 0 0 0 0 0 0 0 0 1394 0 seq41 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31 X__./2018-03-09/otu_table.biom_seq41_X__./2018-02-16/otu_table.biom_seq31
576 803 0 0 0 0 0 0 0 0 0 576 566 803 0 seq31 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32 X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-03-09/otu_table.biom_seq31_X__./2018-02-16/otu_table.biom_seq32
0 1335 0 0 0 0 0 0 0 0 0 0 725 1335 0 seq29 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33 X__./2018-03-09/otu_table.biom_seq29_X__./2018-03-09/otu_table.biom_seq29_X__./2018-02-16/otu_table.biom_seq33
629 1561 567 0 874 0 0 0 754 789 0 888 3052 1621 0 k__Bacteria p__Proteobacteria c__Betaproteobacteria o__Burkholderiales f__Alcaligenaceae g__Sutterella s__stercoricanis
636 623 0 0 0 0 0 0 0 0 0 636 138 623 0 seq40 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36 X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-03-09/otu_table.biom_seq40_X__./2018-02-16/otu_table.biom_seq36
0 2459 0 0 5605 0 0 0 47 3525 0 0 117 2264 0 k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Bacteroidaceae g__Bacteroides s__vulgatus
371 564 0 0 0 0 0 0 0 0 0 371 0 564 0 seq47 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38 X__./2018-03-09/otu_table.biom_seq47_X__./2018-03-09/otu_table.biom_seq47_X__./2018-02-16/otu_table.biom_seq38
429 491 0 0 0 0 0 0 0 0 0 429 169 491 0 seq43 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39 X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-03-09/otu_table.biom_seq43_X__./2018-02-16/otu_table.biom_seq39
0 864 0 0 0 0 0 0 0 0 0 0 168 864 0 seq44 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41 X__./2018-03-09/otu_table.biom_seq44_X__./2018-03-09/otu_table.biom_seq44_X__./2018-02-16/otu_table.biom_seq41
840 0 0 0 0 0 0 0 0 0 0 840 131 0 0 seq46 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42 X__./2018-03-09/otu_table.biom_seq46_X__./2018-03-09/otu_table.biom_seq46_X__./2018-02-16/otu_table.biom_seq42
810 0 0 0 90 0 0 0 3131 23 0 810 709 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__Faecalibacterium s__prausnitzii
106 835 1056 0 0 0 0 0 496 0 0 605 191 1062 0 k__Bacteria p__Proteobacteria c__Betaproteobacteria o__Burkholderiales f__Alcaligenaceae g__Sutterella s__wadsworthensis
499 198 0 0 0 0 0 0 0 0 0 0 0 693 0 k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Prevotellaceae g__Prevotella s__copri
0 0 576 0 0 0 0 0 0 0 0 0 0 518 0 seq61 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49 X__./2018-03-09/otu_table.biom_seq61_X__./2018-02-16/otu_table.biom_seq49
0 544 0 0 0 0 0 0 0 0 0 0 64 490 0 seq59 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50 X__./2018-03-09/otu_table.biom_seq59_X__./2018-03-09/otu_table.biom_seq59_X__./2018-02-16/otu_table.biom_seq50
